iter	Passed	Remaining
406	6594	9608
407	6611	9593
408	6628	9577
409	6678	9610
410	6695	9595
411	6716	9586
412	6733	9570
413	6749	9553
414	6767	9539
415	6783	9523
416	6800	9507
417	6816	9491
418	6832	9473
419	6848	9457
420	6865	9442
421	6886	9431
422	6905	9419
423	6922	9403
424	6938	9387
425	6955	9371
426	6972	9357
427	6988	9339
428	7004	9322
429	7023	9309
430	7037	9291
431	7053	9274
432	7069	9257
433	7086	9241
434	7101	9223
435	7117	9207
436	7135	9192
437	7151	9176
438	7169	9162
439	7181	9140
440	7195	9120
441	7209	9101
442	7226	9085
443	7242	9068
444	7257	9050
445	7275	9037
446	7291	9020
447	7306	9003
448	7321	8984
449	7337	8968
450	7352	8950
451	7366	8931
452	7381	8912
453	7395	8894
454	7410	8876
455	7425	8858
456	7443	8844
457	7462	8830
458	7476	8811
459	7492	8796
460	7507	8777
461	7524	8761
462	7539	8744
463	7555	8727
464	7571	8710
465	7586	8693
466	7601	8675
467	7618	8659
468	7634	8644
469	7654	8631
470	7671	8616
471	7687	8599
472	7703	8582
473	7719	8565
474	7735	8550
475	7752	8534
476	7768	8518
477	7784	8501
478	7801	8485
479	7817	8468
480	7832	8450
481	7848	8434
482	7865	8419
483	7880	8402
484	7896	8385
485	7911	8367
486	7928	8352
487	7945	8336
488	7960	8318
489	7973	8299
490	7985	8277
491	7996	8256
492	8007	8235
493	8022	8217
494	8034	8196
495	8045	8175
496	8061	8158
497	8077	8142
498	8093	8125
499	8109	8109
500	8124	8091
501	8138	8073
502	8153	8056
503	8169	8040
504	8183	8021
505	8199	8005
506	8215	7988
507	8231	7972
508	8247	7955
509	8262	7938
510	8279	7922
511	8294	7905
512	8309	7888
513	8325	7871
514	8340	7854
515	8353	7835
516	8368	7817
517	8393	7810
518	8410	7794
519	8425	7777
520	8440	7760
521	8455	7742
522	8470	7725
523	8485	7707
524	8499	7689
525	8515	7673
526	8533	7659
527	8550	7643
528	8565	7626
529	8581	7610
530	8596	7592
531	8611	7575
532	8629	7560
533	8646	7545
534	8662	7528
535	8677	7512
536	8693	7495
537	8710	7479
538	8725	7462
539	8740	7445
540	8756	7429
541	8773	7414
542	8790	7398
543	8805	7381
544	8820	7364
545	8834	7345
546	8847	7326
547	8859	7307
548	8874	7290
549	8886	7270
550	8899	7252
551	8915	7235
552	8930	7218
553	8945	7201
554	8960	7184
555	8974	7166
556	8986	7147
557	9001	7130
558	9015	7112
559	9027	7093
560	9042	7075
561	9056	7058
562	9071	7041
563	9086	7024
564	9102	7008
565	9116	6990
566	9130	6972
567	9147	6957
568	9165	6942
569	9181	6926
570	9196	6909
571	9211	6892
572	9226	6875
573	9241	6858
574	9256	6841
575	9270	6824
576	9286	6808
577	9303	6792
578	9317	6774
579	9332	6758
580	9348	6741
581	9363	6724
582	9377	6707
583	9393	6691
584	9408	6674
585	9423	6657
586	9437	6640
587	9453	6623
588	9471	6608
589	9489	6594
590	9507	6579
591	9523	6563
592	9543	6550
593	9561	6535
594	9578	6520
595	9596	6504
596	9616	6491
597	9633	6476
598	9651	6460
599	9664	6443
600	9680	6426
601	9697	6411
602	9714	6395
603	9731	6379
604	9747	6363
605	9764	6348
606	9781	6332
607	9796	6316
608	9812	6299
609	9827	6283
610	9843	6266
611	9859	6251
612	9876	6235
613	9892	6218
614	9905	6201
615	9922	6185
616	9937	6168
617	9955	6153
618	9971	6137
619	9987	6121
620	10002	6104
621	10017	6087
622	10031	6070
623	10048	6054
624	10063	6038
625	10080	6022
626	10096	6006
627	10110	5989
628	10125	5972
629	10140	5955
630	10154	5938
631	10168	5921
632	10183	5904
633	10197	5887
634	10213	5870
635	10228	5854
636	10242	5836
637	10255	5819
638	10271	5802
639	10284	5785
640	10302	5770
641	10318	5754
642	10334	5737
643	10348	5720
644	10363	5704
645	10376	5686
646	10392	5669
647	10408	5654
648	10423	5637
649	10440	5621
650	10457	5605
651	10473	5590
652	10490	5574
653	10507	5558
654	10522	5542
655	10540	5527
656	10555	5510
657	10571	5494
658	10588	5479
659	10605	5463
660	10621	5447
661	10636	5430
662	10652	5414
663	10669	5399
664	10689	5384
665	10705	5369
666	10722	5352
667	10737	5336
668	10754	5320
669	10769	5304
670	10784	5287
671	10800	5271
672	10818	5256
673	10864	5255
674	10886	5241
675	10906	5227
676	10921	5210
677	10935	5193
678	10951	5177
679	10968	5161
680	10984	5145
681	11002	5130
682	11016	5113
683	11031	5096
684	11050	5081
685	11065	5065
686	11082	5049
687	11096	5032
688	11112	5016
689	11128	4999
690	11145	4983
691	11159	4967
692	11174	4950
693	11191	4934
694	11207	4918
695	11222	4901
696	11237	4885
697	11251	4868
698	11265	4851
699	11280	4834
700	11295	4817
701	11310	4801
702	11327	4785
703	11344	4769
704	11360	4753
705	11378	4738
706	11395	4722
707	11411	4706
708	11427	4690
709	11443	4674
710	11461	4658
711	11480	4643
712	11497	4628
713	11513	4611
714	11530	4595
715	11545	4579
716	11563	4564
717	11580	4548
718	11597	4532
719	11614	4516
720	11630	4500
721	11645	4484
722	11662	4468
723	11678	4451
724	11694	4435
725	11711	4419
726	11727	4404
727	11745	4388
728	11762	4372
729	11779	4356
730	11795	4340
731	11814	4325
732	11831	4309
733	11848	4293
734	11864	4277
735	11878	4260
736	11892	4244
737	11908	4227
738	11924	4211
739	11942	4196
740	11960	4180
741	11974	4163
742	11988	4146
743	12003	4130
744	12016	4113
745	12030	4096
746	12046	4079
747	12062	4063
748	12076	4047
749	12092	4030
750	12107	4014
751	12123	3998
752	12137	3981
753	12153	3965
754	12169	3948
755	12184	3932
756	12200	3916
757	12216	3900
758	12230	3883
759	12244	3866
760	12258	3849
761	12274	3833
762	12291	3817
763	12306	3801
764	12323	3785
765	12339	3769
766	12355	3753
767	12371	3737
768	12388	3721
769	12405	3705
770	12421	3689
771	12437	3673
772	12453	3657
773	12468	3640
774	12483	3624
775	12499	3608
776	12515	3591
777	12531	3575
778	12548	3559
779	12566	3544
780	12587	3529
781	12604	3513
782	12621	3497
783	12638	3482
784	12657	3466
785	12674	3450
786	12693	3435
787	12710	3419
788	12728	3404
789	12746	3388
790	12764	3372
791	12780	3356
792	12797	3340
793	12813	3324
794	12827	3307
795	12841	3291
796	12856	3274
797	12872	3258
798	12887	3242
799	12903	3225
800	12916	3209
801	12931	3192
802	12947	3176
803	12964	3160
804	12981	3144
805	12998	3128
806	13015	3112
807	13031	3096
808	13048	3080
809	13065	3064
810	13079	3048
811	13096	3032
812	13111	3015
813	13126	2999
814	13140	2982
815	13155	2966
816	13171	2950
817	13185	2933
818	13199	2917
819	13214	2900
820	13231	2884
821	13247	2868
822	13265	2852
823	13283	2837
824	13299	2821
825	13316	2805
826	13333	2789
827	13350	2773
828	13368	2757
829	13384	2741
830	13401	2725
831	13417	2709
832	13433	2693
833	13451	2677
834	13466	2661
835	13483	2645
836	13499	2628
837	13515	2612
838	13532	2596
839	13548	2580
840	13565	2564
841	13582	2548
842	13599	2532
843	13615	2516
844	13631	2500
845	13647	2484
846	13664	2468
847	13679	2452
848	13697	2436
849	13712	2419
850	13728	2403
851	13744	2387
852	13761	2371
853	13776	2355
854	13791	2338
855	13806	2322
856	13822	2306
857	13838	2290
858	13853	2273
859	13869	2257
860	13883	2241
861	13900	2225
862	13915	2209
863	13930	2192
864	13945	2176
865	13960	2160
866	13975	2143
867	13992	2127
868	14005	2111
869	14019	2094
870	14034	2078
871	14048	2062
872	14064	2046
873	14079	2029
874	14093	2013
875	14109	1997
876	14124	1981
877	14141	1965
878	14156	1948
879	14179	1933
880	14196	1917
881	14211	1901
882	14228	1885
883	14244	1869
884	14261	1853
885	14277	1837
886	14293	1820
887	14310	1804
888	14329	1789
889	14345	1773
890	14363	1757
891	14378	1740
892	14394	1724
893	14410	1708
894	14427	1692
895	14442	1676
896	14461	1660
897	14477	1644
898	14494	1628
899	14510	1612
900	14528	1596
901	14545	1580
902	14560	1564
903	14576	1547
904	14593	1531
905	14609	1515
906	14625	1499
907	14642	1483
908	14660	1467
909	14677	1451
910	14693	1435
911	14754	1423
912	14772	1407
913	14793	1391
914	14811	1375
915	14825	1359
916	14839	1343
917	14855	1326
918	14871	1310
919	14885	1294
920	14902	1278
921	14917	1262
922	14934	1245
923	14947	1229
924	14961	1213
925	14977	1196
926	14992	1180
927	15008	1164
928	15023	1148
929	15038	1131
930	15051	1115
931	15064	1099
932	15077	1082
933	15088	1066
934	15102	1049
935	15116	1033
936	15133	1017
937	15145	1001
938	15159	984
939	15171	968
940	15188	952
941	15201	935
942	15217	919
943	15232	903
944	15251	887
945	15274	871
946	15299	856
947	15316	840
948	15334	824
949	15350	807
950	15368	791
951	15383	775
952	15399	759
953	15417	743
954	15435	727
955	15451	711
956	15467	694
957	15484	678
958	15501	662
959	15518	646
960	15535	630
961	15551	614
962	15569	598
963	15585	582
964	15602	565
965	15617	549
966	15632	533
967	15649	517
968	15665	501
969	15683	485
970	15701	468
971	15718	452
972	15736	436
973	15754	420
974	15771	404
975	15788	388
976	15808	372
977	15826	356
978	15842	339
979	15858	323
980	15873	307
981	15890	291
982	15905	275
983	15921	258
984	15937	242
985	15956	226
986	15970	210
987	15985	194
988	16001	177
989	16017	161
990	16032	145
991	16046	129
992	16063	113
993	16079	97
994	16095	80
995	16110	64
996	16126	48
997	16142	32
998	16159	16
999	16177	0
