iter	RMSE
520	3084.365273
521	3083.757898
522	3082.845309
523	3079.803027
524	3079.362302
525	3078.104645
526	3076.880434
527	3075.642236
528	3074.663142
529	3073.752634
530	3073.056325
531	3072.499029
532	3071.422573
533	3070.76855
534	3069.335892
535	3068.873566
536	3068.191965
537	3067.380702
538	3065.711716
539	3064.897709
540	3063.858057
541	3062.826627
542	3062.104619
543	3060.831133
544	3060.02169
545	3059.506222
546	3059.039763
547	3057.371353
548	3055.779624
549	3055.374017
550	3052.224545
551	3051.125224
552	3050.472479
553	3049.333513
554	3048.207043
555	3047.145868
556	3046.250231
557	3045.277452
558	3043.774888
559	3042.232904
560	3041.865744
561	3041.412921
562	3040.270323
563	3039.436498
564	3038.758991
565	3037.974621
566	3036.603555
567	3035.276067
568	3034.224262
569	3033.328005
570	3032.033578
571	3031.08079
572	3029.442047
573	3027.523819
574	3026.281866
575	3024.91802
576	3024.003546
577	3022.742603
578	3022.455814
579	3020.643694
580	3019.790119
581	3019.061288
582	3018.136247
583	3017.543788
584	3016.226503
585	3015.517652
586	3014.963446
587	3014.338521
588	3012.978038
589	3011.853443
590	3008.917302
591	3008.316434
592	3007.412392
593	3005.410045
594	3004.910977
595	3003.975752
596	3002.691164
597	3000.97451
598	3000.638101
599	2998.919169
600	2998.517931
601	2998.028069
602	2996.550047
603	2995.897371
604	2995.253074
605	2993.708824
606	2992.939828
607	2992.056427
608	2990.713896
609	2990.191797
610	2989.127991
611	2988.145005
612	2987.133888
613	2986.362229
614	2985.922179
615	2984.853464
616	2983.82697
617	2982.982993
618	2981.821337
619	2980.69774
620	2980.017429
621	2978.928407
622	2977.891865
623	2976.948385
624	2976.563859
625	2973.431071
626	2972.367861
627	2971.997072
628	2971.260139
629	2970.612263
630	2970.317348
631	2969.856963
632	2968.786533
633	2968.202174
634	2966.101705
635	2965.204323
636	2963.572446
637	2962.225332
638	2960.956859
639	2959.860311
640	2959.200831
641	2958.175516
642	2957.43659
643	2956.729862
644	2956.149256
645	2955.699778
646	2954.784362
647	2953.882244
648	2953.508193
649	2952.896401
650	2951.944961
651	2949.842229
652	2948.851438
653	2948.013124
654	2947.577672
655	2946.771843
656	2946.155894
657	2945.104609
658	2943.922463
659	2942.817953
660	2941.451534
661	2940.859199
662	2940.098696
663	2938.775918
664	2938.007826
665	2937.242442
666	2935.708678
667	2935.039843
668	2934.362458
669	2933.826328
670	2933.282038
671	2932.814965
672	2931.911949
673	2931.26055
674	2930.444411
675	2929.838248
676	2929.396176
677	2928.535014
678	2927.944216
679	2927.01225
680	2926.40229
681	2925.545034
682	2925.056774
683	2924.597255
684	2924.020858
685	2923.530322
686	2922.784623
687	2922.416625
688	2921.626013
689	2919.096722
690	2918.482771
691	2917.951162
692	2917.252922
693	2916.241696
694	2915.426488
695	2914.824189
696	2913.95332
697	2913.673363
698	2912.904124
699	2912.624013
700	2911.706658
701	2911.087369
702	2910.384287
703	2909.761418
704	2908.572741
705	2907.256839
706	2906.407264
707	2905.968235
708	2905.056561
709	2903.88916
710	2903.399287
711	2902.242834
712	2901.569779
713	2901.115404
714	2900.643723
715	2900.080602
716	2898.470008
717	2897.547594
718	2896.976748
719	2896.102441
720	2895.479689
721	2895.141134
722	2894.695075
723	2894.103482
724	2893.577166
725	2892.903975
726	2892.063509
727	2891.573449
728	2890.940787
729	2890.31862
730	2889.37881
731	2888.542671
732	2886.875841
733	2885.965029
734	2885.481161
735	2884.745296
736	2883.806837
737	2883.307146
738	2882.358322
739	2882.039716
740	2881.271996
741	2880.716095
742	2880.202793
743	2879.839167
744	2879.053859
745	2878.361335
746	2877.74207
747	2876.898962
748	2876.331061
749	2875.847947
750	2875.028163
751	2874.054583
752	2873.128195
753	2871.747372
754	2871.313527
755	2870.813102
756	2870.529492
757	2869.499487
758	2869.0956
759	2868.396487
760	2868.050357
761	2867.350356
762	2866.611607
763	2866.14306
764	2865.303136
765	2864.868871
766	2864.608501
767	2864.107957
768	2862.656143
769	2862.0158
770	2861.050136
771	2860.103475
772	2859.774585
773	2859.456624
774	2859.117303
775	2857.842885
776	2857.463146
777	2856.973218
778	2856.382347
779	2855.710623
780	2855.139289
781	2854.506485
782	2853.453818
783	2852.578537
784	2851.771887
785	2850.049076
786	2849.381148
787	2848.767451
788	2848.045367
789	2847.279172
790	2846.840246
791	2846.320043
792	2844.148349
793	2843.713203
794	2843.044785
795	2842.463288
796	2841.667421
797	2840.867905
798	2839.474465
799	2838.621986
800	2837.761407
801	2837.317344
802	2836.57693
803	2835.875044
804	2835.311676
805	2834.900553
806	2834.403157
807	2834.082194
808	2833.130058
809	2832.683378
810	2832.27626
811	2831.71816
812	2831.487134
813	2830.950664
814	2830.565763
815	2830.017004
816	2829.209997
817	2828.81195
818	2828.408858
819	2827.875939
820	2827.117995
821	2826.585094
822	2825.110286
823	2823.638665
824	2823.367323
825	2822.831636
826	2821.952791
827	2820.919331
828	2820.227048
829	2819.844214
830	2819.408415
831	2818.462051
832	2817.964345
833	2817.608108
834	2816.887449
835	2816.48984
836	2816.306591
837	2815.542209
838	2814.827821
839	2813.67822
840	2813.277862
841	2812.377828
842	2811.857859
843	2811.489715
844	2811.093935
845	2810.476411
846	2810.113452
847	2809.352233
848	2808.505013
849	2807.913707
850	2807.555558
851	2806.962302
852	2806.454197
853	2805.755762
854	2805.162427
855	2804.683644
856	2804.184284
857	2803.797941
858	2803.40408
859	2802.029441
860	2801.621755
861	2801.006453
862	2800.604016
863	2799.983
864	2799.221978
865	2798.513876
866	2797.9024
867	2796.256369
868	2796.010326
869	2795.660196
870	2795.255716
871	2794.920425
872	2794.309009
873	2792.778336
874	2792.009166
875	2791.49365
876	2790.480888
877	2789.74994
878	2788.982734
879	2788.009444
880	2787.234303
881	2786.918052
882	2786.25662
883	2785.833038
884	2785.138107
885	2784.980988
886	2784.647667
887	2784.233471
888	2783.738184
889	2783.459514
890	2782.780784
891	2782.233135
892	2781.619054
893	2781.13697
894	2780.779351
895	2780.096349
896	2779.621261
897	2779.249732
898	2778.640828
899	2777.904252
900	2777.335056
901	2775.897295
902	2775.606005
903	2775.176836
904	2774.571072
905	2773.9972
906	2773.689299
907	2773.194711
908	2772.555171
909	2772.178535
910	2771.746724
911	2771.309494
912	2770.784384
913	2770.32239
914	2769.815172
915	2769.433453
916	2769.063503
917	2768.353963
918	2767.863391
919	2766.988684
920	2766.305436
921	2765.669069
922	2765.058372
923	2764.457576
924	2764.097181
925	2763.321819
926	2762.864639
927	2762.019346
928	2761.682768
929	2761.172794
930	2760.696474
931	2760.088478
932	2759.537165
933	2759.242771
934	2758.826047
935	2758.119957
936	2757.576349
937	2757.094266
938	2756.467422
939	2756.159805
940	2755.744362
941	2755.100602
942	2754.699073
943	2754.330291
944	2753.966699
945	2753.283134
946	2752.946331
947	2752.382979
948	2751.913895
949	2751.448741
950	2750.958534
951	2750.499721
952	2750.193635
953	2749.743293
954	2749.174751
955	2748.596698
956	2748.1421
957	2747.788973
958	2747.303213
959	2746.99885
960	2746.471783
961	2746.003546
962	2745.30153
963	2744.782658
964	2744.165182
965	2743.765395
966	2743.347878
967	2743.008044
968	2742.660963
969	2741.717482
970	2741.176896
971	2740.916157
972	2740.197936
973	2739.622754
974	2739.332266
975	2738.9162
976	2736.540133
977	2735.634316
978	2735.20801
979	2734.447943
980	2734.193361
981	2733.804041
982	2733.511091
983	2732.997787
984	2732.44027
985	2731.912382
986	2731.623981
987	2731.126215
988	2730.551883
989	2729.964748
990	2729.547149
991	2729.122851
992	2728.503132
993	2728.058051
994	2727.546405
995	2727.11633
996	2726.742981
997	2726.3076
998	2725.289368
999	2724.448158
